question,ground_truth,answer,answer_similarity,context_precision,context_recall,faithfulness_proxy,bertscore_precision,bertscore_recall,bertscore_f1,rouge_l
Vou cancelar minha consulta,"Cancelado com sucesso. Se quiser remarcar depois, é só avisar.","Consulta cancelada. Se precisar reagendar, estou à disposição.",0.7449240684509277,0.8304896354675293,0.6482442021369934,0.8785186409950256,0.7694,0.7709,0.7701,0.1176
"Oi, Quero cancelar","Consulta cancelada. Se precisar reagendar, estou à disposição.","Cancelado com sucesso. Se quiser remarcar depois, é só avisar.",0.7449240684509277,0.729285717010498,0.7617804408073425,0.8666267395019531,0.7709,0.7694,0.7701,0.1176
quero iniciar o tratamento,Vou verificar a agenda. Qual dia e período você prefere?,Temos horários disponíveis. Qual o melhor dia para você?,0.5160194635391235,0.6890744566917419,0.5140407681465149,0.6963760256767273,0.7539,0.7642,0.759,0.2727
Pode mudar meu horário?,Tudo bem. Para quando deseja reagendar seu atendimento?,Sem problemas. Para qual novo dia e horário deseja alterar?,0.6499987840652466,0.757098913192749,0.5948842763900757,0.8493395447731018,0.7573,0.7663,0.7618,0.2105
Aceita Bradesco?,Pode me informar qual o seu convênio para eu verificar?,Vou verificar os planos aceitos. Qual o nome do seu convênio?,0.6911746859550476,0.5427220463752747,0.6322994232177734,0.8967759609222412,0.7902,0.8077,0.7988,0.4348
marca pra mim na sexta,Claro! Para qual dia e horário deseja agendar?,Claro! Para qual dia e horário gostaria de agendar?,0.9195894598960876,0.6842654347419739,0.8410582542419434,0.6823371052742004,0.9345,0.9623,0.9482,0.8421
"Oi, Quanto fica a avaliação?",Vou confirmar os valores atuais com a clínica. Um momento.,Vou confirmar os valores atuais com a clínica. Um momento.,1.000000238418579,0.7052657008171082,0.8303191661834717,0.8099462389945984,1.0,1.0,1.0,1.0
Me marca pra semana que vem,Claro! Para qual dia e horário deseja agendar?,Claro! Para qual dia e horário deseja agendar?,1.000000238418579,0.6888729929924011,0.8615579605102539,0.7180263996124268,1.0,1.0,1.0,1.0
pode ser pelo plano?,Vou verificar os planos aceitos. Qual o nome do seu convênio?,Pode me informar qual o seu convênio para eu verificar?,0.6911746859550476,0.7705773711204529,0.6732913255691528,0.7958186268806458,0.8077,0.7902,0.7988,0.4348
Qual o valor da consulta?,Vou consultar a tabela de valores da clínica agora.,Vou consultar a tabela de valores da clínica agora.,1.0,0.8081219792366028,0.8822561502456665,0.880615234375,1.0,1.0,1.0,1.0
